DATE,TRESEGCAM052N
2007-12-01,40991235300
2008-01-01,42159155200
2008-02-01,43507599900
2008-03-01,42950193000
2008-04-01,43507364900
2008-05-01,43490517300
2008-06-01,43753934800
2008-07-01,42559104300
2008-08-01,42502908100
2008-09-01,42883276800
2008-10-01,41322098100
2008-11-01,41466426500
2008-12-01,43777503500
2009-01-01,42650499600
2009-02-01,43089140700
2009-03-01,43423129700
2009-04-01,42528682000
2009-05-01,44763057200
2009-06-01,44559875800
2009-07-01,45311782000
2009-08-01,53467260900
2009-09-01,58052736800
2009-10-01,56122500400
2009-11-01,56292159800
2009-12-01,54237788400
2010-01-01,56859588000
2010-02-01,57221213100
2010-03-01,56543630900
2010-04-01,56714132400
2010-05-01,55895514800
2010-06-01,55256963800
2010-07-01,57184075200
2010-08-01,57789158800
2010-09-01,59404534700
2010-10-01,58800868700
2010-11-01,56420603900
2010-12-01,56997921000
2011-01-01,58561485500
2011-02-01,60178008700
2011-03-01,60442601900
2011-04-01,62851089000
2011-05-01,63834941400
2011-06-01,62324116900
2011-07-01,63059826100
2011-08-01,64295743500
2011-09-01,63541492100
2011-10-01,65240124700
2011-11-01,65549836500
2011-12-01,65652141600
2012-01-01,66185701000
2012-02-01,69602310300
2012-03-01,69167066300
2012-04-01,69363413600
2012-05-01,68528811100
2012-06-01,66043392200
2012-07-01,66144044600
2012-08-01,67002182000
2012-09-01,67946640400
2012-10-01,67865901900
2012-11-01,68034357300
2012-12-01,68364968300
2013-01-01,68711915100
2013-02-01,69191797000
2013-03-01,70052598500
2013-04-01,71486951500
2013-05-01,70553175300
2013-06-01,68765499300
2013-07-01,69637466900
2013-08-01,69789794300
2013-09-01,71262022600
2013-10-01,71415221200
2013-11-01,71915833000
2013-12-01,71821460600
2014-01-01,72658439300
2014-02-01,77041182500
2014-03-01,76324856900
2014-04-01,77171779900
2014-05-01,77767688900
2014-06-01,75748100900
2014-07-01,75343257400
2014-08-01,75489677300
2014-09-01,73570607700
2014-10-01,73800615800
2014-11-01,73998373100
2014-12-01,74584226900
2015-01-01,74715797700
2015-02-01,74652615500
2015-03-01,77566296700
2015-04-01,77729334900
2015-05-01,77154577700
2015-06-01,76282371900
2015-07-01,76875713400
2015-08-01,77744933800
2015-09-01,78329043500
2015-10-01,79042365500
2015-11-01,78109917000
2015-12-01,79695441400
2016-01-01,81158365500
2016-02-01,81290238300
2016-03-01,82191021200
2016-04-01,83921479100
2016-05-01,84298086300
2016-06-01,83521089600
2016-07-01,82904062500
2016-08-01,83756245200
2016-09-01,84195496600
2016-10-01,83383357800
2016-11-01,83129707900
2016-12-01,82718098100
2017-01-01,84783218900
2017-02-01,82091156200
2017-03-01,82549575600
2017-04-01,84709870700
2017-05-01,85589617100
2017-06-01,84626069100
2017-07-01,84948002400
2017-08-01,85154786900
2017-09-01,84391114000
2017-10-01,83438642100
2017-11-01,86857190300
2017-12-01,86677706700
2018-01-01,86747518600
2018-02-01,86485409200
2018-03-01,83297024500
2018-04-01,82220420600
