DATE,USD12MD156N
2015-01-01,0.62216666666666666667
2015-02-01,0.66013750000000000000
2015-03-01,0.70002500000000000000
2015-04-01,0.69694500000000000000
2015-05-01,0.73462368421052631579
2015-06-01,0.77026590909090909091
2015-07-01,0.78584130434782608696
2015-08-01,0.83643750000000000000
2015-09-01,0.85266363636363636364
2015-10-01,0.83786590909090909091
2015-11-01,0.93437380952380952381
2015-12-01,1.0841380952380952
2016-01-01,1.1534300000000000
2016-02-01,1.1407690476190476
2016-03-01,1.2156690476190476
2016-04-01,1.2222214285714286
2016-05-01,1.2675078947368421
2016-06-01,1.2592227272727273
2016-07-01,1.3170761904761905
2016-08-01,1.5097959090909091
2016-09-01,1.5560313636363636
2016-10-01,1.5778147619047619
2016-11-01,1.6029650000000000
2016-12-01,1.6692235000000000
2017-01-01,1.7079285714285714
2017-02-01,1.7239580000000000
2017-03-01,1.8069104347826087
2017-04-01,1.7758141176470588
2017-05-01,1.7495038095238095
2017-06-01,1.7322577272727273
2017-07-01,1.7410885714285714
2017-08-01,1.7253381818181818
2017-09-01,1.7382466666666667
2017-10-01,1.8208568181818182
2017-11-01,1.9015695454545455
2017-12-01,2.0434931578947368
2018-01-01,2.1964595454545455
2018-02-01,2.3701375000000000
2018-03-01,2.5964757142857143
2018-04-01,2.7355455000000000
2018-05-01,2.7547571428571429
2018-06-01,2.7596442857142857
2018-07-01,.
