DATE,RUMIDCAPTR
2007-11-01,5669.5719047619047619
2007-12-01,5737.7360000000000000
2008-01-01,5274.8514285714285714
2008-02-01,5317.9905000000000000
2008-03-01,5110.2130000000000000
2008-04-01,5394.2050000000000000
2008-05-01,5655.8414285714285714
2008-06-01,5530.4257142857142857
2008-07-01,5102.7486363636363636
2008-08-01,5192.7947619047619048
2008-09-01,4909.8014285714285714
2008-10-01,3614.7030434782608696
2008-11-01,3153.3600000000000000
2008-12-01,3168.9954545454545455
2009-01-01,3251.4285000000000000
2009-02-01,3031.9952631578947368
2009-03-01,2858.9736363636363636
2009-04-01,3326.4504761904761905
2009-05-01,3577.8890000000000000
2009-06-01,3692.7209090909090909
2009-07-01,3738.4881818181818182
2009-08-01,4138.8766666666666667
2009-09-01,4350.0319047619047619
2009-10-01,4442.5268181818181818
2009-11-01,4445.1625000000000000
2009-12-01,4617.6113636363636364
2010-01-01,4750.2800000000000000
2010-02-01,4645.5368421052631579
2010-03-01,5021.5021739130434783
2010-04-01,5295.4828571428571429
2010-05-01,5002.9190000000000000
2010-06-01,4850.0050000000000000
2010-07-01,4807.2190476190476190
2010-08-01,4853.3690909090909091
2010-09-01,5071.1442857142857143
2010-10-01,5329.8828571428571429
2010-11-01,5513.7433333333333333
2010-12-01,5805.2277272727272727
2011-01-01,5977.8930000000000000
2011-02-01,6204.0431578947368421
2011-03-01,6163.5256521739130435
2011-04-01,6367.3970000000000000
2011-05-01,6422.8409523809523810
2011-06-01,6183.4690909090909091
2011-07-01,6345.1190000000000000
2011-08-01,5499.3404347826086957
2011-09-01,5451.0271428571428571
2011-10-01,5544.0738095238095238
2011-11-01,5700.4000000000000000
2011-12-01,5736.5490476190476190
2012-01-01,6037.1105000000000000
2012-02-01,6371.7320000000000000
2012-03-01,6482.5263636363636364
2012-04-01,6446.5545000000000000
2012-05-01,6243.0518181818181818
2012-06-01,6073.9385714285714286
2012-07-01,6222.9185714285714286
2012-08-01,6422.1282608695652174
2012-09-01,6651.8552631578947368
2012-10-01,6604.0913043478260870
2012-11-01,6524.6504761904761905
2012-12-01,6724.3685000000000000
2013-01-01,7103.9504761904761905
2013-02-01,7340.1715789473684211
2013-03-01,7559.2095000000000000
2013-04-01,7613.7372727272727273
2013-05-01,7991.0368181818181818
2013-06-01,7846.2885000000000000
2013-07-01,8175.2768181818181818
2013-08-01,8258.2377272727272727
2013-09-01,8403.1285000000000000
2013-10-01,8614.4600000000000000
2013-11-01,8824.1760000000000000
2013-12-01,8937.0576190476190476
2014-01-01,9094.2857142857142857
2014-02-01,9206.6331578947368421
2014-03-01,9475.0771428571428571
2014-04-01,9376.6204761904761905
2014-05-01,9470.2409523809523810
2014-06-01,9821.1447619047619048
2014-07-01,9888.0054545454545455
2014-08-01,9864.5623809523809524
2014-09-01,10004.8538095238095238
2014-10-01,9633.2604347826086957
2014-11-01,10220.4152631578947368
2014-12-01,10280.5781818181818182
2015-01-01,10271.3805000000000000
2015-02-01,10641.984736842105
2015-03-01,10737.318181818182
2015-04-01,10852.947619047619
2015-05-01,10827.960000000000
2015-06-01,10810.480909090909
2015-07-01,10656.356363636364
2015-08-01,10425.6785714285714286
2015-09-01,9981.6438095238095238
2015-10-01,10209.6795454545454545
2015-11-01,10346.7330000000000000
2015-12-01,10154.5336363636363636
2016-01-01,9400.0968421052631579
2016-02-01,9289.6390000000000000
2016-03-01,10082.3368181818181818
2016-04-01,10404.4485714285714286
2016-05-01,10425.1809523809523810
2016-06-01,10595.790454545455
2016-07-01,10954.547500000000
2016-08-01,11138.476086956522
2016-09-01,11060.710952380952
2016-10-01,10918.006666666667
2016-11-01,11093.835714285714
2016-12-01,11583.740000000000
2017-01-01,11737.680500000000
2017-02-01,12018.377368421053
2017-03-01,12054.813043478261
2017-04-01,12085.463157894737
2017-05-01,12225.242727272727
2017-06-01,12443.850000000000
2017-07-01,12548.939500000000
2017-08-01,12420.555217391304
2017-09-01,12662.698000000000
2017-10-01,13032.740454545455
2017-11-01,13189.197619047619
2017-12-01,13543.480000000000
2018-01-01,14097.030000000000
2018-02-01,13595.181052631579
2018-03-01,13749.217142857143
2018-04-01,13590.406666666667
2018-05-01,13826.641818181818
2018-06-01,14144.816190476190
2018-07-01,.
