DATE,WILLMIDCAP
2016-10-01,102141.221428571429
2016-11-01,104530.696190476190
2016-12-01,110390.585238095238
2017-01-01,111710.823500000000
2017-02-01,114287.824736842105
2017-03-01,114181.845652173913
2017-04-01,114607.716842105263
2017-05-01,115407.662727272727
2017-06-01,117123.307727272727
2017-07-01,118391.208000000000
2017-08-01,117137.823043478261
2017-09-01,119977.199000000000
2017-10-01,124074.181363636364
2017-11-01,125886.744761904762
2017-12-01,129006.362500000000
2018-01-01,133390.566190476190
2018-02-01,128666.345789473684
2018-03-01,130821.360952380952
2018-04-01,129687.802857142857
2018-05-01,132789.169545454545
2018-06-01,136860.326666666667
