DATE,WILLSMLCAPVAL
2005-07-01,53285.009500000000
2005-08-01,53146.665652173913
2005-09-01,53399.428095238095
2005-10-01,51083.546190476190
2005-11-01,53220.231904761905
2005-12-01,54567.311428571429
2006-01-01,56529.589500000000
2006-02-01,57636.039473684211
2006-03-01,58812.266521739130
2006-04-01,59968.194210526316
2006-05-01,59487.530454545455
2006-06-01,57220.486363636364
2006-07-01,57510.399000000000
2006-08-01,58054.430869565217
2006-09-01,59459.472500000000
2006-10-01,61576.841363636364
2006-11-01,63369.273809523810
2006-12-01,64865.620000000000
2007-01-01,64923.062000000000
2007-02-01,67566.381578947368
2007-03-01,65830.620909090909
2007-04-01,68275.566500000000
2007-05-01,69724.250454545455
2007-06-01,69965.464761904762
2007-07-01,69296.350476190476
2007-08-01,64299.073478260870
2007-09-01,65627.443684210526
2007-10-01,67209.983043478261
2007-11-01,62752.183333333333
2007-12-01,62796.365500000000
2008-01-01,57795.411904761905
2008-02-01,59700.254000000000
2008-03-01,57395.394500000000
2008-04-01,59549.225909090909
2008-05-01,61392.046190476190
2008-06-01,59217.477619047619
2008-07-01,54795.798636363636
2008-08-01,58207.813333333333
2008-09-01,57542.930476190476
2008-10-01,44007.121739130435
2008-11-01,38481.688421052632
2008-12-01,38473.647272727273
2009-01-01,38678.689000000000
2009-02-01,35001.062631578947
2009-03-01,32142.554090909091
2009-04-01,38983.702380952381
2009-05-01,42632.016000000000
2009-06-01,43496.718636363636
2009-07-01,43976.441363636364
2009-08-01,50444.097619047619
2009-09-01,53008.371428571429
2009-10-01,53585.173181818182
2009-11-01,52299.587500000000
2009-12-01,55177.402727272727
2010-01-01,57387.261578947368
2010-02-01,56211.588947368421
2010-03-01,61869.798695652174
2010-04-01,66801.603333333333
2010-05-01,63007.893000000000
2010-06-01,59193.805000000000
2010-07-01,57819.638095238095
2010-08-01,57667.723636363636
2010-09-01,59830.723333333333
2010-10-01,63690.142380952381
2010-11-01,65744.556190476190
2010-12-01,70240.020909090909
2011-01-01,72221.388500000000
2011-02-01,74403.453157894737
2011-03-01,74104.774782608696
2011-04-01,76384.152000000000
2011-05-01,75632.723333333333
2011-06-01,72623.416363636364
2011-07-01,75213.719000000000
2011-08-01,63834.077826086957
2011-09-01,61779.416190476190
2011-10-01,63371.017142857143
2011-11-01,65635.980476190476
2011-12-01,66726.276190476190
2012-01-01,70951.596500000000
2012-02-01,75375.640500000000
2012-03-01,76149.557272727273
2012-04-01,75494.710500000000
2012-05-01,73388.895000000000
2012-06-01,72022.810000000000
2012-07-01,75066.990952380952
2012-08-01,76080.560000000000
2012-09-01,79673.475789473684
2012-10-01,79141.684761904762
2012-11-01,77716.184761904762
2012-12-01,80857.988500000000
2013-01-01,86014.154285714286
2013-02-01,88727.006315789474
2013-03-01,91629.691500000000
2013-04-01,91360.552272727273
2013-05-01,95503.347272727273
2013-06-01,93879.639000000000
2013-07-01,99008.162727272727
2013-08-01,98661.688181818182
2013-09-01,99079.074000000000
2013-10-01,103118.708695652174
2013-11-01,105832.575500000000
2013-12-01,107527.857619047619
2014-01-01,109096.832380952381
2014-02-01,108200.798947368421
2014-03-01,112829.377142857143
2014-04-01,111801.745714285714
2014-05-01,111167.276666666667
2014-06-01,115394.292380952381
2014-07-01,115719.661818181818
2014-08-01,114424.477142857143
2014-09-01,114650.502857142857
2014-10-01,111144.441304347826
2014-11-01,117932.968947368421
2014-12-01,118377.319090909091
2015-01-01,118639.030000000000
2015-02-01,121583.381578947368
2015-03-01,123080.053636363636
2015-04-01,124633.991428571429
2015-05-01,123461.320500000000
2015-06-01,123884.979090909091
2015-07-01,121623.526818181818
2015-08-01,117682.683809523810
2015-09-01,113239.833809523810
2015-10-01,116676.671363636364
2015-11-01,118555.010500000000
2015-12-01,115541.150000000000
2016-01-01,106949.946842105263
2016-02-01,106601.353500000000
2016-03-01,116278.590454545455
2016-04-01,120805.827619047619
2016-05-01,122140.127619047619
2016-06-01,125466.995000000000
2016-07-01,130603.972500000000
2016-08-01,133343.433478260870
2016-09-01,133248.170952380952
2016-10-01,131722.467142857143
2016-11-01,136692.982857142857
2016-12-01,146805.357142857143
2017-01-01,147656.449500000000
2017-02-01,149157.124736842105
2017-03-01,146520.100869565217
2017-04-01,147548.392631578947
2017-05-01,145837.361818181818
2017-06-01,146903.539090909091
2017-07-01,148059.659000000000
2017-08-01,144175.035217391304
2017-09-01,148119.403500000000
2017-10-01,153639.789090909091
2017-11-01,153284.118571428571
2017-12-01,156778.706500000000
2018-01-01,160353.640952380952
2018-02-01,152613.424736842105
2018-03-01,154701.759523809524
2018-04-01,155314.430000000000
2018-05-01,161889.161818181818
2018-06-01,168748.695238095238
